Overs,Mdns,Runs,Wickets,Economy,Average,SR,Opposition,Ground,Start_Date,Match_Id,Bowler,Player_Id
8,2,42,2,5.25,21,24,v West Indies,Port of Spain,07-07-2013,ODI # 3385,Lasith Malinga,49758
3,1,7,0,2.33,0,0,v India,Port of Spain,09-07-2013,ODI # 3387,Lasith Malinga,49758
10,1,58,1,5.8,58,60,v India,Port of Spain,11-07-2013,ODI # 3388,Lasith Malinga,49758
4,1,21,1,5.25,21,24,v South Africa,Colombo (RPS),20-07-2013,ODI # 3392,Lasith Malinga,49758
3,0,17,1,5.66,17,18,v South Africa,Colombo (RPS),23-07-2013,ODI # 3394,Lasith Malinga,49758
10,0,57,1,5.7,57,60,v South Africa,Pallekele,26-07-2013,ODI # 3398,Lasith Malinga,49758
9,0,52,3,5.77,17.33,18,v South Africa,Pallekele,28-07-2013,ODI # 3400,Lasith Malinga,49758
2.2,0,8,1,3.42,8,14,v New Zealand,Hambantota,10-11-2013,ODI # 3432,Lasith Malinga,49758
5,0,42,0,8.4,0,0,v New Zealand,Hambantota,12-11-2013,ODI # 3434,Lasith Malinga,49758
3,0,31,0,10.33,0,0,v New Zealand,Dambulla,16-11-2013,ODI # 3435,Lasith Malinga,49758
10,1,59,0,5.9,0,0,v Pakistan,Sharjah,18-12-2013,ODI # 3445,Lasith Malinga,49758
10,0,78,1,7.8,78,60,v Pakistan,Dubai (DSC),20-12-2013,ODI # 3446,Lasith Malinga,49758
10,0,58,1,5.8,58,60,v Pakistan,Sharjah,22-12-2013,ODI # 3447,Lasith Malinga,49758
7,0,40,0,5.71,0,0,v Pakistan,Abu Dhabi,25-12-2013,ODI # 3448,Lasith Malinga,49758
10,0,57,4,5.7,14.25,15,v Pakistan,Abu Dhabi,27-12-2013,ODI # 3450,Lasith Malinga,49758
8,1,37,1,4.62,37,48,v Bangladesh,Dhaka,17-02-2014,ODI # 3469,Lasith Malinga,49758
8,2,45,2,5.62,22.5,24,v Bangladesh,Dhaka,20-02-2014,ODI # 3470,Lasith Malinga,49758
9.5,0,52,5,5.28,10.4,11.8,v Pakistan,Fatullah,25-02-2014,ODI # 3473,Lasith Malinga,49758
10,0,58,1,5.8,58,60,v India,Fatullah,28-02-2014,ODI # 3476,Lasith Malinga,49758
5,0,23,0,4.6,0,0,v Afghanistan,Dhaka,03-03-2014,ODI # 3481,Lasith Malinga,49758
10,0,56,5,5.6,11.2,12,v Pakistan,Dhaka,08-03-2014,ODI # 3486,Lasith Malinga,49758
8,0,71,0,8.87,0,0,v England,The Oval,22-05-2014,ODI # 3492,Lasith Malinga,49758
4,1,17,1,4.25,17,24,v England,Chester-le-Street,25-05-2014,ODI # 3493,Lasith Malinga,49758
3,0,13,0,4.33,0,0,v England,Manchester,28-05-2014,ODI # 3494,Lasith Malinga,49758
10,2,52,3,5.2,17.33,20,v England,Lord's,31-05-2014,ODI # 3495,Lasith Malinga,49758
9.1,0,50,3,5.45,16.66,18.3,v England,Birmingham,03-06-2014,ODI # 3496,Lasith Malinga,49758
7,0,52,0,7.42,0,0,v South Africa,Colombo (RPS),06-07-2014,ODI # 3500,Lasith Malinga,49758
6,1,24,4,4,6,9,v South Africa,Pallekele,09-07-2014,ODI # 3501,Lasith Malinga,49758
10,0,85,0,8.5,0,0,v South Africa,Hambantota,12-07-2014,ODI # 3502,Lasith Malinga,49758
9,0,60,1,6.66,60,54,v Pakistan,Hambantota,23-08-2014,ODI # 3512,Lasith Malinga,49758
6.5,0,56,2,8.19,28,20.5,v Pakistan,Hambantota,26-08-2014,ODI # 3515,Lasith Malinga,49758
7,2,17,1,2.42,17,42,v Pakistan,Dambulla,30-08-2014,ODI # 3519,Lasith Malinga,49758
10,0,84,0,8.4,0,0,v New Zealand,Christchurch,14-02-2015,ODI # 3599,Lasith Malinga,49758
9.4,1,41,3,4.24,13.66,19.3,v Afghanistan,Dunedin,22-02-2015,ODI # 3609,Lasith Malinga,49758
9,0,35,3,3.88,11.66,18,v Bangladesh,Melbourne,26-02-2015,ODI # 3615,Lasith Malinga,49758
10,0,63,1,6.3,63,60,v England,Wellington,01-03-2015,ODI # 3619,Lasith Malinga,49758
10,0,59,2,5.9,29.5,30,v Australia,Sydney,08-03-2015,ODI # 3629,Lasith Malinga,49758
9,0,29,2,3.22,14.5,27,v Scotland,Hobart,11-03-2015,ODI # 3632,Lasith Malinga,49758
6,0,43,1,7.16,43,36,v South Africa,Sydney,18-03-2015,ODI # 3640,Lasith Malinga,49758
8,0,56,0,7,0,0,v Pakistan,Dambulla,11-07-2015,ODI # 3664,Lasith Malinga,49758
10,0,64,2,6.4,32,30,v Pakistan,Pallekele,15-07-2015,ODI # 3669,Lasith Malinga,49758
10,0,80,1,8,80,60,v Pakistan,Colombo (RPS),19-07-2015,ODI # 3670,Lasith Malinga,49758
9,2,46,1,5.11,46,54,v Pakistan,Colombo (RPS),22-07-2015,ODI # 3671,Lasith Malinga,49758
6,1,20,0,3.33,0,0,v West Indies,Colombo (RPS),01-11-2015,ODI # 3701,Lasith Malinga,49758
7.4,0,43,2,5.6,21.5,23,v West Indies,Colombo (RPS),04-11-2015,ODI # 3702,Lasith Malinga,49758
7,0,43,2,6.14,21.5,21,v West Indies,Pallekele,07-11-2015,ODI # 3704,Lasith Malinga,49758
10,0,57,0,5.7,0,0,v South Africa,The Oval,03-06-2017,ODI # 3877,Lasith Malinga,49758
10,0,70,2,7,35,30,v India,The Oval,08-06-2017,ODI # 3882,Lasith Malinga,49758
9.5,2,52,1,5.28,52,59,v Pakistan,Cardiff,12-06-2017,ODI # 3888,Lasith Malinga,49758
9,0,51,1,5.66,51,54,v Zimbabwe,Galle,30-06-2017,ODI # 3897,Lasith Malinga,49758
3,1,17,0,5.66,0,0,v Zimbabwe,Galle,02-07-2017,ODI # 3899,Lasith Malinga,49758
9,0,71,1,7.88,71,54,v Zimbabwe,Hambantota,06-07-2017,ODI # 3901,Lasith Malinga,49758
4,1,18,0,4.5,0,0,v Zimbabwe,Hambantota,08-07-2017,ODI # 3903,Lasith Malinga,49758
10,0,44,2,4.4,22,30,v Zimbabwe,Hambantota,10-07-2017,ODI # 3904,Lasith Malinga,49758
8,0,52,0,6.5,0,0,v India,Dambulla,20-08-2017,ODI # 3905,Lasith Malinga,49758
8,0,49,0,6.12,0,0,v India,Pallekele,24-08-2017,ODI # 3906,Lasith Malinga,49758
5,0,25,1,5,25,30,v India,Pallekele,27-08-2017,ODI # 3907,Lasith Malinga,49758
10,0,82,1,8.2,82,60,v India,Colombo (RPS),31-08-2017,ODI # 3908,Lasith Malinga,49758
8,1,35,1,4.37,35,48,v India,Colombo (RPS),03-09-2017,ODI # 3909,Lasith Malinga,49758
10,2,23,4,2.3,5.75,15,v Bangladesh,Dubai (DSC),15-09-2018,ODI # 4036,Lasith Malinga,49758
10,0,66,1,6.6,66,60,v Afghanistan,Abu Dhabi,17-09-2018,ODI # 4038,Lasith Malinga,49758
5,0,37,0,7.4,0,0,v England,Dambulla,10-10-2018,ODI # 4052,Lasith Malinga,49758
10,1,44,5,4.4,8.8,12,v England,Dambulla,13-10-2018,ODI # 4053,Lasith Malinga,49758
4,0,39,0,9.75,0,0,v England,Pallekele,17-10-2018,ODI # 4054,Lasith Malinga,49758
5,0,15,0,3,0,0,v England,Pallekele,20-10-2018,ODI # 4055,Lasith Malinga,49758
10,0,78,2,7.8,39,30,v New Zealand,Mount Maunganui,03-01-2019,ODI # 4074,Lasith Malinga,49758
10,0,45,2,4.5,22.5,30,v New Zealand,Mount Maunganui,05-01-2019,ODI # 4075,Lasith Malinga,49758
10,1,93,3,9.3,31,20,v New Zealand,Nelson,08-01-2019,ODI # 4076,Lasith Malinga,49758
7,0,37,0,5.28,0,0,v South Africa,Johannesburg,03-03-2019,ODI # 4104,Lasith Malinga,49758
9,0,39,2,4.33,19.5,27,v South Africa,Centurion,06-03-2019,ODI # 4107,Lasith Malinga,49758
10,0,68,1,6.8,68,60,v South Africa,Durban,10-03-2019,ODI # 4112,Lasith Malinga,49758
7,0,38,0,5.42,0,0,v South Africa,Port Elizabeth,13-03-2019,ODI # 4114,Lasith Malinga,49758
6,0,22,1,3.66,22,36,v South Africa,Cape Town,16-03-2019,ODI # 4115,Lasith Malinga,49758
2,0,10,0,5,0,0,v Pakistan,Dambulla,11-07-2015,ODI # 3664,Milinda Siriwardana,222354
5,0,22,1,4.4,22,30,v Pakistan,Pallekele,15-07-2015,ODI # 3669,Milinda Siriwardana,222354
5.5,0,28,1,4.8,28,35,v Pakistan,Colombo (RPS),22-07-2015,ODI # 3671,Milinda Siriwardana,222354
2.2,0,19,1,8.14,19,14,v Pakistan,Hambantota,26-07-2015,ODI # 3672,Milinda Siriwardana,222354
7,1,27,2,3.85,13.5,21,v West Indies,Colombo (RPS),04-11-2015,ODI # 3702,Milinda Siriwardana,222354
5,0,17,0,3.4,0,0,v West Indies,Pallekele,07-11-2015,ODI # 3704,Milinda Siriwardana,222354
5,0,45,2,9,22.5,15,v New Zealand,Christchurch,26-12-2015,ODI # 3714,Milinda Siriwardana,222354
5,0,33,1,6.6,33,30,v New Zealand,Nelson,31-12-2015,ODI # 3717,Milinda Siriwardana,222354
2,0,11,0,5.5,0,0,v New Zealand,Nelson,02-01-2016,ODI # 3718,Milinda Siriwardana,222354
5,0,32,0,6.4,0,0,v New Zealand,Mount Maunganui,05-01-2016,ODI # 3721,Milinda Siriwardana,222354
6,0,34,0,5.66,0,0,v Australia,Colombo (RPS),21-08-2016,ODI # 3768,Milinda Siriwardana,222354
5,1,23,0,4.6,0,0,v Bangladesh,Colombo (SSC),01-04-2017,ODI # 3858,Milinda Siriwardana,222354
10,0,39,1,3.9,39,60,v India,Pallekele,24-08-2017,ODI # 3906,Milinda Siriwardana,222354
9,0,43,0,4.77,0,0,v India,Pallekele,27-08-2017,ODI # 3907,Milinda Siriwardana,222354
5,0,36,0,7.2,0,0,v India,Colombo (RPS),31-08-2017,ODI # 3908,Milinda Siriwardana,222354
4,0,28,0,7,0,0,v India,Colombo (RPS),03-09-2017,ODI # 3909,Milinda Siriwardana,222354
6,0,28,0,4.66,0,0,v Pakistan,Dubai (DSC),13-10-2017,ODI # 3922,Milinda Siriwardana,222354
2,0,9,0,4.5,0,0,v Pakistan,Abu Dhabi,16-10-2017,ODI # 3924,Milinda Siriwardana,222354
2,0,12,0,6,0,0,v Pakistan,Abu Dhabi,18-10-2017,ODI # 3926,Milinda Siriwardana,222354
5,0,34,0,6.8,0,0,v Pakistan,Sharjah,20-10-2017,ODI # 3927,Milinda Siriwardana,222354
4,0,12,2,3,6,12,v Zimbabwe,Bulawayo,01-06-2010,ODI # 2985,Jeevan Mendis,49700
6,0,29,0,4.83,0,0,v India,Harare,05-06-2010,ODI # 2988,Jeevan Mendis,49700
8,0,42,0,5.25,0,0,v Zimbabwe,Harare,07-06-2010,ODI # 2989,Jeevan Mendis,49700
9,0,36,2,4,18,27,v Zimbabwe,Harare,09-06-2010,ODI # 2990,Jeevan Mendis,49700
1,0,10,0,10,0,0,v Australia,Brisbane,07-11-2010,ODI # 3068,Jeevan Mendis,49700
2,0,18,1,9,18,12,v England,The Oval,28-06-2011,ODI # 3165,Jeevan Mendis,49700
6,0,31,2,5.16,15.5,18,v England,Leeds,01-07-2011,ODI # 3167,Jeevan Mendis,49700
10,0,40,2,4,20,30,v England,Lord's,03-07-2011,ODI # 3168,Jeevan Mendis,49700
2,0,20,0,10,0,0,v England,Nottingham,06-07-2011,ODI # 3169,Jeevan Mendis,49700
6,0,33,0,5.5,0,0,v England,Manchester,09-07-2011,ODI # 3170,Jeevan Mendis,49700
2,0,6,0,3,0,0,v Scotland,Edinburgh,13-07-2011,ODI # 3172,Jeevan Mendis,49700
9,0,37,0,4.11,0,0,v Australia,Pallekele,10-08-2011,ODI # 3175,Jeevan Mendis,49700
3,0,12,0,4,0,0,v Australia,Hambantota,14-08-2011,ODI # 3178,Jeevan Mendis,49700
1,0,5,0,5,0,0,v Australia,Hambantota,16-08-2011,ODI # 3180,Jeevan Mendis,49700
8,0,35,0,4.37,0,0,v Australia,Colombo (RPS),22-08-2011,ODI # 3184,Jeevan Mendis,49700
9,0,43,0,4.77,0,0,v Pakistan,Dubai (DSC),14-11-2011,ODI # 3213,Jeevan Mendis,49700
3,0,15,0,5,0,0,v Pakistan,Dubai (DSC),18-11-2011,ODI # 3214,Jeevan Mendis,49700
9,0,40,2,4.44,20,27,v Pakistan,Sharjah,20-11-2011,ODI # 3215,Jeevan Mendis,49700
7,0,36,3,5.14,12,14,v Pakistan,Abu Dhabi,23-11-2011,ODI # 3216,Jeevan Mendis,49700
9,0,30,2,3.33,15,27,v Pakistan,Colombo (RPS),18-06-2012,ODI # 3277,Jeevan Mendis,49700
4,0,19,0,4.75,0,0,v India,Colombo (RPS),28-07-2012,ODI # 3293,Jeevan Mendis,49700
6,0,37,1,6.16,37,36,v India,Colombo (RPS),31-07-2012,ODI # 3294,Jeevan Mendis,49700
5,0,25,0,5,0,0,v India,Pallekele,04-08-2012,ODI # 3295,Jeevan Mendis,49700
6,0,34,0,5.66,0,0,v New Zealand,Pallekele,04-11-2012,ODI # 3305,Jeevan Mendis,49700
5,0,34,2,6.8,17,15,v New Zealand,Pallekele,06-11-2012,ODI # 3306,Jeevan Mendis,49700
4,0,15,3,3.75,5,8,v New Zealand,Hambantota,10-11-2012,ODI # 3307,Jeevan Mendis,49700
4,0,33,0,8.25,0,0,v Australia,Melbourne,11-01-2013,ODI # 3317,Jeevan Mendis,49700
2,0,7,0,3.5,0,0,v Australia,Adelaide,13-01-2013,ODI # 3319,Jeevan Mendis,49700
3,0,28,1,9.33,28,18,v India,Cardiff,20-06-2013,ODI # 3376,Jeevan Mendis,49700
1.5,1,7,0,3.81,0,0,v West Indies,Kingston,28-06-2013,ODI # 3378,Jeevan Mendis,49700
2,0,8,0,4,0,0,v West Indies,Port of Spain,07-07-2013,ODI # 3385,Jeevan Mendis,49700
1,0,4,0,4,0,0,v India,Port of Spain,09-07-2013,ODI # 3387,Jeevan Mendis,49700
6,0,34,1,5.66,34,36,v England,Colombo (RPS),26-11-2014,ODI # 3554,Jeevan Mendis,49700
5,0,22,0,4.4,0,0,v England,Colombo (RPS),29-11-2014,ODI # 3557,Jeevan Mendis,49700
2,0,9,0,4.5,0,0,v England,Hambantota,03-12-2014,ODI # 3561,Jeevan Mendis,49700
7,1,39,0,5.57,0,0,v England,Colombo (RPS),07-12-2014,ODI # 3563,Jeevan Mendis,49700
7,0,41,0,5.85,0,0,v England,Pallekele,10-12-2014,ODI # 3565,Jeevan Mendis,49700
4,0,22,0,5.5,0,0,v England,Pallekele,13-12-2014,ODI # 3567,Jeevan Mendis,49700
4,0,28,0,7,0,0,v England,Colombo (RPS),16-12-2014,ODI # 3569,Jeevan Mendis,49700
1,0,5,0,5,0,0,v New Zealand,Christchurch,11-01-2015,ODI # 3574,Jeevan Mendis,49700
10,0,47,1,4.7,47,60,v New Zealand,Hamilton,15-01-2015,ODI # 3577,Jeevan Mendis,49700
7,0,40,1,5.71,40,42,v New Zealand,Nelson,20-01-2015,ODI # 3585,Jeevan Mendis,49700
2,0,21,0,10.5,0,0,v New Zealand,Dunedin,23-01-2015,ODI # 3588,Jeevan Mendis,49700
5,0,27,0,5.4,0,0,v New Zealand,Dunedin,25-01-2015,ODI # 3590,Jeevan Mendis,49700
2,0,5,2,2.5,2.5,6,v New Zealand,Christchurch,14-02-2015,ODI # 3599,Jeevan Mendis,49700
3,0,13,0,4.33,0,0,v Afghanistan,Dunedin,22-02-2015,ODI # 3609,Jeevan Mendis,49700
2,0,34,0,17,0,0,v New Zealand,Christchurch,28-12-2015,ODI # 3715,Jeffrey Vandersay,370040
10,1,55,2,5.5,27.5,30,v New Zealand,Nelson,31-12-2015,ODI # 3717,Jeffrey Vandersay,370040
1,0,15,0,15,0,0,v New Zealand,Nelson,02-01-2016,ODI # 3718,Jeffrey Vandersay,370040
10,0,50,3,5,16.66,20,v Zimbabwe,Bulawayo,27-11-2016,ODI # 3810,Jeffrey Vandersay,370040
7,0,51,0,7.28,0,0,v South Africa,Port Elizabeth,28-01-2017,ODI # 3828,Jeffrey Vandersay,370040
10,0,61,1,6.1,61,60,v South Africa,Centurion,10-02-2017,ODI # 3834,Jeffrey Vandersay,370040
10,0,47,1,4.7,47,60,v Pakistan,Dubai (DSC),13-10-2017,ODI # 3922,Jeffrey Vandersay,370040
9,0,44,1,4.88,44,54,v Pakistan,Abu Dhabi,16-10-2017,ODI # 3924,Jeffrey Vandersay,370040
9.3,1,43,1,4.52,43,57,v Pakistan,Abu Dhabi,18-10-2017,ODI # 3926,Jeffrey Vandersay,370040
6.2,0,30,1,4.73,30,38,v Pakistan,Sharjah,23-10-2017,ODI # 3930,Jeffrey Vandersay,370040
6,0,42,0,7,0,0,v India,Hambantota,24-07-2012,ODI # 3292,Isuru Udana,328026
6,0,42,0,7,0,0,v India,Colombo (RPS),28-07-2012,ODI # 3293,Isuru Udana,328026
8,0,50,2,6.25,25,24,v South Africa,Durban,10-03-2019,ODI # 4112,Isuru Udana,328026
2,0,15,0,7.5,0,0,v South Africa,Port Elizabeth,13-03-2019,ODI # 4114,Isuru Udana,328026
7,1,37,0,5.28,0,0,v South Africa,Cape Town,16-03-2019,ODI # 4115,Isuru Udana,328026
9,0,66,0,7.33,0,0,v India,Kolkata,24-12-2009,ODI # 2935,Thisara Perera,233514
6,0,27,2,4.5,13.5,18,v India,Dhaka,05-01-2010,ODI # 2938,Thisara Perera,233514
10,0,32,2,3.2,16,30,v Bangladesh,Dhaka,08-01-2010,ODI # 2940,Thisara Perera,233514
5,1,32,1,6.4,32,30,v India,Dhaka,10-01-2010,ODI # 2941,Thisara Perera,233514
8.2,0,49,1,5.88,49,50,v India,Dhaka,13-01-2010,ODI # 2943,Thisara Perera,233514
7,0,35,0,5,0,0,v India,Bulawayo,30-05-2010,ODI # 2983,Thisara Perera,233514
1,0,16,0,16,0,0,v Zimbabwe,Bulawayo,01-06-2010,ODI # 2985,Thisara Perera,233514
4,0,33,1,8.25,33,24,v India,Harare,05-06-2010,ODI # 2988,Thisara Perera,233514
2,0,24,0,12,0,0,v Zimbabwe,Harare,07-06-2010,ODI # 2989,Thisara Perera,233514
7.4,1,28,5,3.65,5.6,9.2,v India,Dambulla,22-08-2010,ODI # 3038,Thisara Perera,233514
9,2,36,3,4,12,18,v India,Dambulla,28-08-2010,ODI # 3040,Thisara Perera,233514
8,0,46,5,5.75,9.2,9.6,v Australia,Melbourne,03-11-2010,ODI # 3065,Thisara Perera,233514
8,0,39,2,4.87,19.5,24,v Australia,Sydney,05-11-2010,ODI # 3066,Thisara Perera,233514
4.4,1,19,0,4.07,0,0,v Australia,Brisbane,07-11-2010,ODI # 3068,Thisara Perera,233514
9,2,36,3,4,12,18,v West Indies,Colombo (SSC),06-02-2011,ODI # 3099,Thisara Perera,233514
7,0,24,3,3.42,8,14,v Canada,Hambantota,20-02-2011,ODI # 3102,Thisara Perera,233514
9,0,62,2,6.88,31,27,v Pakistan,Colombo (RPS),26-02-2011,ODI # 3109,Thisara Perera,233514
6,0,33,1,5.5,33,36,v Zimbabwe,Pallekele,10-03-2011,ODI # 3125,Thisara Perera,233514
9,0,55,1,6.11,55,54,v India,Mumbai,02-04-2011,ODI # 3148,Thisara Perera,233514
6,0,20,1,3.33,20,36,v Scotland,Edinburgh,13-07-2011,ODI # 3172,Thisara Perera,233514
9,1,30,2,3.33,15,27,v Pakistan,Dubai (DSC),14-11-2011,ODI # 3213,Thisara Perera,233514
10,1,45,1,4.5,45,60,v Pakistan,Dubai (DSC),18-11-2011,ODI # 3214,Thisara Perera,233514
10,1,36,1,3.6,36,60,v Pakistan,Sharjah,20-11-2011,ODI # 3215,Thisara Perera,233514
7,1,32,0,4.57,0,0,v Pakistan,Abu Dhabi,23-11-2011,ODI # 3216,Thisara Perera,233514
4,0,34,2,8.5,17,12,v South Africa,Kimberley,20-01-2012,ODI # 3228,Thisara Perera,233514
7,0,64,0,9.14,0,0,v South Africa,Johannesburg,22-01-2012,ODI # 3229,Thisara Perera,233514
5,0,37,1,7.4,37,30,v India,Perth,08-02-2012,ODI # 3233,Thisara Perera,233514
9,0,45,2,5,22.5,27,v India,Adelaide,14-02-2012,ODI # 3239,Thisara Perera,233514
7,1,29,2,4.14,14.5,21,v Australia,Sydney,17-02-2012,ODI # 3241,Thisara Perera,233514
7.1,0,37,4,5.16,9.25,10.7,v India,Brisbane,21-02-2012,ODI # 3246,Thisara Perera,233514
4,0,35,0,8.75,0,0,v Australia,Hobart,24-02-2012,ODI # 3248,Thisara Perera,233514
7,0,59,0,8.42,0,0,v India,Hobart,28-02-2012,ODI # 3251,Thisara Perera,233514
0.5,0,8,0,9.6,0,0,v Australia,Melbourne,02-03-2012,ODI # 3253,Thisara Perera,233514
6.1,0,31,0,5.02,0,0,v Pakistan,Pallekele,07-06-2012,ODI # 3272,Thisara Perera,233514
10,0,44,6,4.4,7.33,10,v Pakistan,Pallekele,09-06-2012,ODI # 3273,Thisara Perera,233514
10,1,42,4,4.2,10.5,15,v Pakistan,Colombo (RPS),16-06-2012,ODI # 3275,Thisara Perera,233514
8,0,54,1,6.75,54,48,v Pakistan,Colombo (RPS),18-06-2012,ODI # 3277,Thisara Perera,233514
10,0,70,3,7,23.33,20,v India,Hambantota,21-07-2012,ODI # 3291,Thisara Perera,233514
8,3,19,3,2.37,6.33,16,v India,Hambantota,24-07-2012,ODI # 3292,Thisara Perera,233514
9,0,57,1,6.33,57,54,v India,Colombo (RPS),28-07-2012,ODI # 3293,Thisara Perera,233514
6,0,51,0,8.5,0,0,v India,Colombo (RPS),31-07-2012,ODI # 3294,Thisara Perera,233514
10,0,53,1,5.3,53,60,v India,Pallekele,04-08-2012,ODI # 3295,Thisara Perera,233514
7,0,52,1,7.42,52,42,v New Zealand,Pallekele,04-11-2012,ODI # 3305,Thisara Perera,233514
4,0,22,0,5.5,0,0,v New Zealand,Pallekele,06-11-2012,ODI # 3306,Thisara Perera,233514
5,0,16,1,3.2,16,30,v New Zealand,Hambantota,10-11-2012,ODI # 3307,Thisara Perera,233514
